Webpage,Coreconfig,Govconfig,Core,Counter,Value
craigslist,Dynamic,ii,5,0x19,122857298.0
craigslist,Dynamic,ii,5,0x16,213534011.0
craigslist,Dynamic,ii,5,0x17,19417350.0
craigslist,Dynamic,ii,6,0x08,3632195939.0
craigslist,Dynamic,ii,6,0x19,127376943.0
craigslist,Dynamic,ii,6,0x16,242943123.0
craigslist,Dynamic,ii,6,0x17,21269639.0
craigslist,Dynamic,ii,7,0x08,3332180685.0
craigslist,Dynamic,ii,7,0x19,132868729.0
craigslist,Dynamic,ii,7,0x16,226083560.0
craigslist,Dynamic,ii,7,0x17,21633408.0
ebay,Dynamic,ii,0,0x08,3148182865.0
ebay,Dynamic,ii,0,0x19,234704224.0
ebay,Dynamic,ii,0,0x16,271876063.0
ebay,Dynamic,ii,0,0x17,41329675.0
ebay,Dynamic,ii,1,0x08,2911333503.0
ebay,Dynamic,ii,1,0x19,227436854.0
ebay,Dynamic,ii,1,0x16,250929193.0
ebay,Dynamic,ii,1,0x17,39923457.0
ebay,Dynamic,ii,2,0x08,2675755462.0
ebay,Dynamic,ii,2,0x19,224976277.0
ebay,Dynamic,ii,2,0x16,236368431.0
ebay,Dynamic,ii,2,0x17,38649805.0
ebay,Dynamic,ii,3,0x08,2715502735.0
ebay,Dynamic,ii,3,0x19,215462526.0
ebay,Dynamic,ii,3,0x16,241702527.0
ebay,Dynamic,ii,3,0x17,37938365.0
ebay,Dynamic,ii,4,0x08,3149368622.0
ebay,Dynamic,ii,4,0x19,244242782.0
ebay,Dynamic,ii,4,0x16,552716410.0
ebay,Dynamic,ii,4,0x17,46381049.0
ebay,Dynamic,ii,5,0x08,1708088106.0
ebay,Dynamic,ii,5,0x19,175118242.0
ebay,Dynamic,ii,5,0x16,410310692.0
ebay,Dynamic,ii,5,0x17,29336718.0
ebay,Dynamic,ii,6,0x08,1292959003.0
ebay,Dynamic,ii,6,0x19,170886833.0
ebay,Dynamic,ii,6,0x16,391254782.0
ebay,Dynamic,ii,6,0x17,28301576.0
ebay,Dynamic,ii,7,0x08,1424489534.0
ebay,Dynamic,ii,7,0x19,167602083.0
ebay,Dynamic,ii,7,0x16,390030086.0
ebay,Dynamic,ii,7,0x17,28457071.0
google,Dynamic,ii,0,0x08,1099551469.0
google,Dynamic,ii,0,0x19,93999849.0
google,Dynamic,ii,0,0x16,97629372.0
google,Dynamic,ii,0,0x17,16095847.0
google,Dynamic,ii,1,0x08,1124489372.0
google,Dynamic,ii,1,0x19,92464901.0
google,Dynamic,ii,1,0x16,98800785.0
google,Dynamic,ii,1,0x17,16271273.0
google,Dynamic,ii,2,0x08,1100539385.0
google,Dynamic,ii,2,0x19,97002276.0
google,Dynamic,ii,2,0x16,97777705.0
google,Dynamic,ii,2,0x17,16824440.0
google,Dynamic,ii,3,0x08,1157408208.0
google,Dynamic,ii,3,0x19,98388187.0
google,Dynamic,ii,3,0x16,100786178.0
google,Dynamic,ii,3,0x17,16884564.0
google,Dynamic,ii,4,0x08,2416361382.0
google,Dynamic,ii,4,0x19,72022521.0
google,Dynamic,ii,4,0x16,149746566.0
google,Dynamic,ii,4,0x17,12271115.0
google,Dynamic,ii,5,0x08,2568127092.0
google,Dynamic,ii,5,0x19,67970104.0
google,Dynamic,ii,5,0x16,168388595.0
google,Dynamic,ii,5,0x17,11408064.0
google,Dynamic,ii,6,0x08,2575246566.0
google,Dynamic,ii,6,0x19,71147211.0
google,Dynamic,ii,6,0x16,156342854.0
google,Dynamic,ii,6,0x17,11546127.0
google,Dynamic,ii,7,0x08,2426918321.0
google,Dynamic,ii,7,0x19,65916199.0
google,Dynamic,ii,7,0x16,153726805.0
google,Dynamic,ii,7,0x17,11046327.0
msn,Dynamic,ii,0,0x08,137104791.0
msn,Dynamic,ii,0,0x19,253241177.0
msn,Dynamic,ii,0,0x16,306338646.0
msn,Dynamic,ii,0,0x17,42620953.0
msn,Dynamic,ii,1,0x08,3883326869.0
msn,Dynamic,ii,1,0x19,240614889.0
msn,Dynamic,ii,1,0x16,298199085.0
msn,Dynamic,ii,1,0x17,41785865.0
msn,Dynamic,ii,2,0x08,3489850854.0
msn,Dynamic,ii,2,0x19,229787600.0
msn,Dynamic,ii,2,0x16,282117638.0
msn,Dynamic,ii,2,0x17,40009541.0
msn,Dynamic,ii,3,0x08,3370895359.0
msn,Dynamic,ii,3,0x19,226108962.0
