Webpage,Coreconfig,Govconfig,loadTime,energy
bbc,AllSmall,ii,992.0,1495.7345139669121
bbc,AllSmall,ii,1091.0,1235.8097281122523
bbc,AllSmall,ii,1035.0,1282.6936728852886
bbc,AllSmall,ii,1248.0,2000.3798163764952
bbc,AllSmall,ii,1160.0,1516.6989292774501
bbc,AllSmall,ii,1022.0,1925.2772443799952
bbc,AllSmall,ii,970.0,1465.8782266044318
bbc,AllSmall,ii,1009.0,1975.0756764861324
bbc,AllSmall,ii,1053.0,1342.5541217251155
bbc,AllSmall,ii,1072.0,1711.9108467180417
bbc,AllSmall,ii,1028.0,1697.3368918851213
bbc,AllSmall,ii,1006.0,1215.4953930546967
bbc,AllSmall,ii,1011.0,1543.4654506132724
bbc,AllSmall,ii,1012.0,1677.1458385316612
bbc,AllSmall,ii,988.0,1629.8027469896654
bbc,AllSmall,ii,1064.0,1338.049302623649
bbc,AllSmall,ii,1007.0,1400.3634330638854
bbc,AllSmall,ii,967.0,1315.714001934111
bbc,AllSmall,ii,1132.0,1569.8937891095761
bbc,AllSmall,ii,1087.0,1368.3737225735695
bbc,AllSmall,ii,1071.0,1661.335861014167
bbc,AllSmall,ii,1265.0,1369.428248721606
bbc,AllSmall,ii,1162.0,1181.781403220401
bbc,AllSmall,ii,992.0,1304.448728879647
bbc,AllSmall,ii,1073.0,1458.4465712101637
bbc,AllSmall,ii,1002.0,1493.4272063565593
bbc,AllSmall,ii,1045.0,1424.4909131337947
bbc,AllSmall,ii,937.0,1391.9954900416944
bbc,AllSmall,ii,1003.0,1839.9200923222618
bbc,AllSmall,ii,1084.0,1443.5827720639468
bbc,AllSmall,ii,961.0,1512.3327900392944
bbc,AllSmall,ii,1016.0,1545.6329716354696
bbc,AllSmall,ii,1034.0,1753.0199602544863
bbc,AllSmall,ii,1032.0,1451.310800446782
bbc,AllSmall,ii,1065.0,1325.4051606882495
bbc,AllSmall,ii,1045.0,1348.2844860394398
bbc,AllSmall,ii,1038.0,1329.068402331536
bbc,AllSmall,ii,1158.0,1329.9875968431195
bbc,AllSmall,ii,1202.0,1347.4232656697877
bbc,AllSmall,ii,1111.0,1361.3074416478235
bbc,AllSmall,ii,1057.0,1600.6416962847406
bbc,AllSmall,ii,1081.0,1365.3332175429819
bbc,AllSmall,ii,1100.0,1401.771691254566
bbc,AllSmall,ii,1000.0,1544.9474321051164
bbc,AllSmall,ii,1062.0,1289.7151604838775
bbc,AllSmall,ii,1046.0,1514.96285052683
bbc,AllSmall,ii,977.0,1286.5825958365433
bbc,AllSmall,ii,976.0,1683.5675716838816
bbc,AllSmall,ii,1067.0,1636.6404450616594
bbc,AllSmall,ii,1016.0,1583.0213784488824
bbc,AllSmall,ii,1030.0,1567.4665595161202
bbc,AllSmall,ii,1079.0,1583.0216395250743
bbc,AllSmall,ii,1062.0,1376.3555116300936
bbc,AllSmall,ii,999.0,1346.4878271674818
bbc,AllSmall,ii,1043.0,1494.0487677595418
bbc,AllSmall,ii,1054.0,1386.8283414338728
bbc,AllSmall,ii,1128.0,1461.653764172998
bbc,AllSmall,ii,1144.0,1654.2085780707787
bbc,AllSmall,ii,1250.0,1293.8097328907782
bbc,AllSmall,ii,1140.0,1248.81982893994
bbc,AllSmall,ii,1028.0,1265.1611460012914
bbc,AllSmall,ii,1189.0,2009.035061981726
bbc,AllSmall,ii,940.0,1413.56886862434
bbc,AllSmall,ii,1006.0,1601.684354530157
bbc,AllSmall,ii,1042.0,1881.0409784660458
bbc,AllSmall,ii,1033.0,1289.8192231443006
bbc,AllSmall,ii,1146.0,1434.0096677963536
bbc,AllSmall,ii,1149.0,1564.7778228411419
bbc,AllSmall,ii,1021.0,1573.9339429781214
bbc,AllSmall,ii,1018.0,1644.999524841117
bbc,AllSmall,ii,1040.0,1187.2793353132342
bbc,AllSmall,ii,1002.0,1610.125009326011
bbc,AllSmall,ii,1135.0,1400.852174538143
bbc,AllSmall,ii,1199.0,1227.3793623223112
bbc,AllSmall,ii,1071.0,1440.162762873334
bbc,AllSmall,ii,1120.0,1347.0807949552188
bbc,AllSmall,ii,1021.0,1556.4833811397568
bbc,AllSmall,ii,995.0,1361.532264018176
bbc,AllSmall,ii,970.0,1612.934744415313
bbc,AllSmall,ii,1203.0,1851.9997267161598
bbc,AllSmall,ii,1194.0,1634.6417406282455
bbc,AllSmall,ii,974.0,1342.4824384896779
bbc,AllSmall,ii,1035.0,1751.4837287379469
bbc,AllSmall,ii,1034.0,1526.968551838573
bbc,AllSmall,ii,1009.0,1324.2204507222223
bbc,AllSmall,ii,1044.0,1288.937864146707
bbc,AllSmall,ii,1121.0,1308.9251925886203
bbc,AllSmall,ii,1123.0,1722.1345601019
bbc,AllSmall,ii,1039.0,1704.552129161751
bbc,AllSmall,ii,986.0,1324.7683269908732
bbc,AllSmall,ii,1065.0,1292.5630121527063
bbc,AllSmall,ii,1133.0,1477.2067542626921
bbc,AllSmall,ii,1030.0,1070.9940256557736
bbc,AllSmall,ii,1076.0,1734.1073519993963
bbc,AllSmall,ii,1000.0,1567.6079833890988
